Date,Red_Numerator,Red_Denominator,Orange_Numerator,Orange_Denominator,Green-E_Numerator,Green-E_Denominator,Green-D_Numerator,Green-D_Denominator,Green-C_Numerator,Green-C_Denominator,Green-B_Numerator,Green-B_Denominator,Blue_Numerator,Blue_Denominator
2016-01-01,75245.94,85867.82,54169.89,56211.63,171.2974,222.0855,331.1586,409.5178,282.6541,374.0138,400.8287,582.8023,8605.457,9237.039
2016-01-04,67067.14,81842.88,44481.3,50469.67,156.0033,259.0423,309.0524,431.9126,273.504,425.2147,465.9718,646.5058,5482.414,6573.527
2016-01-05,63111.04,79178.14,45468.31,49316.53,160.671,276.6065,293.4067,418.2743,258.9103,407.7658,499.5714,690.5528,7643.289,8418.861
2016-01-06,73323.58,85118.3,49112.56,54115.74,177.5312,273.513,319.9679,420.4809,265.3343,414.4811,507.8952,722.4854,8257.718,8781.076
2016-01-07,76332.36,87466.15,54383.73,56916.59,165.2627,273.1574,333.5865,416.7187,306.0006,422.7919,567.3051,724.232,8651.946,9026.644
2016-01-08,68774.55,82280.01,48426.79,52802.53,176.3094,284.9213,320.7728,427.9901,263.5665,413.4133,541.3286,717.0626,7889.842,8500.694
2016-01-11,72318.81,83737.09,48994.44,55214.15,194.8967,303.3199,313.1387,421.7191,291.0379,427.841,542.4057,717.2269,8153.215,8680.621
2016-01-12,65820.43,79353.05,49491.95,52871.83,195.8944,294.4883,305.5482,420.4094,272.4564,426.8841,531.7911,730.9179,7464.799,8186.835
2016-01-13,73438.4,87017.96,48573.39,54384.58,177.4325,302.6567,313.0631,423.2433,298.2825,436.7572,499.4087,706.5166,8092.856,8613.621
2016-01-14,71870.93,83647.08,49108.36,53057.57,181.021,283.7675,293.9093,418.1365,302.5467,430.7154,490.2575,712.1268,7784.62,8285.141
2016-01-15,78992.0,88996.19,52885.43,56941.84,199.6356,300.4254,321.4345,424.0754,309.692,437.7402,590.204,728.778,8552.143,8817.084
2016-01-18,77301.3,89156.71,52196.49,56461.75,177.9436,241.0358,313.4597,419.6281,300.5244,400.5547,522.9496,712.9249,9049.156,9169.755
2016-01-19,67505.04,82783.06,48252.23,53659.37,185.6347,297.6134,267.4006,400.8977,273.4217,422.1155,479.4251,720.3324,6468.043,7741.463
2016-01-20,73645.41,85428.57,46843.34,53233.83,191.0409,301.6231,283.4223,415.0026,303.0636,438.6499,488.027,713.819,8125.798,8654.446
2016-01-21,70164.93,82298.95,46743.68,53068.25,185.4975,306.0676,251.508,399.2835,253.2709,415.3997,505.4901,715.2612,7924.393,8591.566
2016-01-22,72635.66,84177.45,46629.2,52301.37,152.9918,265.7388,284.5356,419.0079,258.5947,409.3489,484.7953,686.7044,7903.622,8629.131
2016-01-25,63105.96,83016.93,49218.07,53613.22,147.5593,263.0507,297.0487,415.4855,288.9426,439.4898,451.0608,700.6013,7868.038,8549.052
2016-01-26,73004.02,86049.08,49390.48,53694.56,189.0552,298.646,317.2419,420.2714,257.1753,408.1057,437.0913,679.7114,7781.877,8287.824
2016-01-27,81099.15,90152.68,53408.25,56999.78,122.5637,192.3655,305.184,423.5863,299.3228,437.6964,517.4408,721.4244,8882.586,9059.353
2016-01-28,78815.93,90772.96,53951.26,56911.22,180.9063,270.3569,332.6187,423.3365,321.0944,433.3818,524.9857,697.3337,8563.594,8976.546
2016-01-29,67057.44,79772.72,45535.51,50404.94,172.7433,279.5408,284.6766,414.0204,195.0609,335.3845,545.2928,722.894,7820.867,8489.106
2016-02-01,73564.69,84151.76,50687.47,54186.28,149.3709,248.9564,321.2188,421.333,293.9576,431.3367,479.0212,701.5206,8131.011,8513.556
2016-02-02,71910.73,80879.03,45044.09,50935.14,180.6754,287.5092,289.4932,414.9043,275.0558,411.8249,465.6635,678.7043,7759.598,8488.725
2016-02-03,71405.93,81738.26,47531.98,53685.87,171.8114,285.2777,295.0978,421.7877,280.3142,414.1833,434.7374,667.8499,7594.802,8326.104
2016-02-05,69696.83,84364.27,42029.25,48041.12,100.3037,163.6154,154.3618,214.755,271.9297,425.5126,432.4153,684.7285,7255.35,8400.789
